relative_path,suffix,size_bytes,sha256,role,read_only
data\无人机应急物资运输基础数据\中继无人机数据.xlsx,.xlsx,11082,be52643ff29419233e6a141dca03a04160a8af551cab36d8c49b51bb836bea04,official_source,True
data\无人机应急物资运输基础数据\物资需求与配送时限.xlsx,.xlsx,17474,5a3346159ceddcf585859d270b8f62114b388a1f737fbe64ffde0ee1fdc8170a,official_source,True
data\无人机应急物资运输基础数据\调度中心与服务区.xlsx,.xlsx,11017,541a7af1ded08c9a3ff448480332cb5f6a54902f0afa6e9bcd50c1d2b2b34e38,official_source,True
data\无人机应急物资运输基础数据\运输无人机数据.xlsx,.xlsx,11746,9296a657c07e042afba6aeea7999665d9cd24e00b592fd6c269de6e338480dcb,official_source,True
data\无人机应急物资运输基础数据\通信链路参数.xlsx,.xlsx,10485,1860d153199e7ae460ba36e83b673374e640e19de91ea167f2877271001f5f81,official_source,True
data\镇龙乡地理空间数据\镇龙乡及周边地理数据\数字高程模型数据（DEM）\镇龙乡及周边30米DEM.mat,.mat,6746494,c68703e0cc8f94f4bd52ff6e9974b66a2dae33865f0723ad71c04b6694bf4fbf,official_source,True
data\镇龙乡地理空间数据\镇龙乡及周边地理数据\数字高程模型数据（DEM）\镇龙乡及周边30米DEM.tif,.tif,7867096,741fe6de0b2bcaffd0f4007f574ee698d46197094f52cc954b532c4f90fc7c03,official_source,True
data\镇龙乡地理空间数据\镇龙乡及周边地理数据\村镇点位\镇龙乡及周边村镇点位.csv,.csv,9569,b6e2ffc0b728fb33c532e471b6f27dcb54ff70a9a2025546539eea97e5232d6f,official_source,True
data\镇龙乡地理空间数据\镇龙乡及周边地理数据\村镇点位\镇龙乡及周边村镇点位.mat,.mat,119280,61419e92447ada38c56b7f64f04e4aada2eb1ed076ae33e95f1cbc69f3514beb,official_source,True
data\镇龙乡地理空间数据\镇龙乡及周边地理数据\水体（面）\镇龙乡及周边水体.csv,.csv,279146,4d72a2b46d893701da635ac1b083539568ad3a8b9ffb1b28b09c06bf8af74324,official_source,True
data\镇龙乡地理空间数据\镇龙乡及周边地理数据\水体（面）\镇龙乡及周边水体.mat,.mat,179705,b79df14bdc0b22811f5c219897a66775d8879a93c4a865e455d8c43ab099b50a,official_source,True
data\镇龙乡地理空间数据\镇龙乡及周边地理数据\水系（线）\镇龙乡及周边水系.csv,.csv,297223,3502b997e000e8043e36b7159202bafb12a0c21d23a8b5ad4ec6877bad580a65,official_source,True
data\镇龙乡地理空间数据\镇龙乡及周边地理数据\水系（线）\镇龙乡及周边水系.mat,.mat,179598,b89f4f294bf771962676009fa9044f46ef26a06613fb6f91e2c6f9ccd430f8e8,official_source,True
data\镇龙乡地理空间数据\镇龙乡及周边地理数据\道路\镇龙乡及周边道路.csv,.csv,1423481,adcd23b4ae2c28475412fc2c8a3c0504b2a293ac2ec25faa1da2fe3c3d063ebe,official_source,True
data\镇龙乡地理空间数据\镇龙乡及周边地理数据\道路\镇龙乡及周边道路.mat,.mat,399882,c868717284d8aee60157e3bc9b20e18a81b26fde3d75fc7d80317ef877af9849,official_source,True
data\镇龙乡地理空间数据\镇龙乡地理空间数据说明.pdf,.pdf,85812,6d1522c6832a5d91a108dae0d07954845025c0dabd44af8ee78c7860d7c405e4,official_source,True
data\镇龙乡地理空间数据\镇龙乡地理空间详情地图.html,.html,4701273,5bb8082f4f5913e6787f86fa9dd3b6f8cbcfa309359f222f57355d1ae991b452,official_source,True
结果提交模板.xlsx,.xlsx,20893,16f521f29a7103c4ff7c3709ce1696bb9fffa18ce741895e45b7bc7afaf3320a,official_source,True
