架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
Q1-001,S001,C,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-FOD-01,S001-FOD-02,S001-HYG-01,S001-HYG-02",76.0,0.231,1693.4267425794721,2.9262373969991264,63.42203253751092
Q1-002,S001,C,"S001-WAT-04,S001-WAT-05,S001-WAT-06,S001-WAT-07,S001-WAT-08,S001-FOD-03",78.0,0.163,1495.4267425794721,3.0046620656015985,62.44172417998002
Q1-003,S002,C,"S002-WAT-02,S002-WAT-03,S002-WAT-04,S002-FOD-02,S002-HYG-01",56.0,0.144,2045.0081375770078,5.739333667676231,28.25832915404711
Q1-004,S002,B,"S002-MED-01,S002-WAT-01,S002-FOD-01",25.0,0.067,1819.8900528602112,2.7218980504634467,31.95254873841383
Q1-005,S003,C,"S003-WAT-02,S003-WAT-03,S003-WAT-04,S003-FOD-02,S003-HYG-01",56.0,0.144,2369.810878218953,5.7632816930706685,27.958978836616645
Q1-006,S003,B,"S003-MED-01,S003-WAT-01,S003-FOD-01",25.0,0.067,2080.2428321577554,2.7791018387642006,30.522454030894984
Q1-007,S004,C,"S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01",59.0,0.156,2305.1854923777623,6.176858612078107,22.789267349023667
Q1-008,S005,C,"S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01",59.0,0.156,1880.045617172208,4.238735064989856,47.015811687626794
Q1-009,S006,C,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01",59.0,0.156,1560.8638860724209,2.5939349389637574,67.57581326295303
Q1-010,S007,C,"S007-MED-01,S007-WAT-01,S007-WAT-02,S007-FOD-01,S007-HYG-01",45.0,0.129,1889.2252461965559,3.403284468190999,57.45894414761251
Q1-011,S008,C,"S008-MED-01,S008-WAT-01,S008-WAT-02,S008-FOD-01,S008-HYG-01",45.0,0.129,2203.759895025548,5.857451507934492,26.78185615081885
Q1-012,S009,B,"S009-MED-01,S009-WAT-01,S009-FOD-01",25.0,0.067,1560.7797963581836,2.102431093701403,47.43922265746493
Q1-013,S010,B,"S010-MED-01,S010-WAT-01,S010-FOD-01",25.0,0.067,1554.5722429043155,1.8210044159676944,54.47488960080764
Q1-014,S011,B,"S011-MED-01,S011-WAT-01,S011-FOD-01",25.0,0.067,1186.67880728014,1.0759658137239203,73.10085465690199
Q1-015,S012,B,"S012-MED-01,S012-WAT-01,S012-FOD-01",25.0,0.067,1923.8014247171473,2.7551935342850173,31.120161642874567
Q1-016,S013,B,"S013-MED-01,S013-WAT-01,S013-FOD-01",25.0,0.067,1510.400947687793,1.8245337591909148,54.38665602022713
Q1-017,S014,B,"S014-MED-01,S014-WAT-01,S014-FOD-01",25.0,0.067,1868.598451895563,2.1372327281347068,46.56918179663233
Q1-018,S015,B,"S015-MED-01,S015-WAT-01,S015-FOD-01",25.0,0.067,1829.5741132702528,2.310845764235462,42.22885589411345
