服务区编号,机型编号,返航安全余量,最大安全载荷（kg）,法定载重上限（kg）,边界能耗（kWh）,边界返航SOC,主要限制
S001,A,0.2,25.0,25.0,1.3165122701600633,0.7074417177422081,额定载荷
S002,A,0.2,25.0,25.0,3.100126366228591,0.31108302972697977,额定载荷
S003,A,0.2,25.0,25.0,3.1559037939264005,0.2986880457941332,额定载荷
S004,A,0.2,25.0,25.0,3.279238759026745,0.27128027577183444,额定载荷
S005,A,0.2,25.0,25.0,2.2535428502433312,0.49921269994592643,额定载荷
S006,A,0.2,25.0,25.0,1.3875905575532994,0.6916465427659335,额定载荷
S007,A,0.2,25.0,25.0,2.0112805262910234,0.5530487719353281,额定载荷
S008,A,0.2,25.0,25.0,3.3994873847905858,0.24455835893542544,额定载荷
S009,A,0.2,25.0,25.0,2.3939264940422347,0.4680163346572812,额定载荷
S010,A,0.2,25.0,25.0,2.068204759508089,0.5403989423315358,额定载荷
S011,A,0.2,25.0,25.0,1.2220029902325393,0.7284437799483245,额定载荷
S012,A,0.2,25.0,25.0,3.1343809347134095,0.3034709033970201,额定载荷
S013,A,0.2,25.0,25.0,2.0738790237910965,0.5391379947130897,额定载荷
S014,A,0.2,25.0,25.0,2.422096464462296,0.46175634123060094,额定载荷
S015,A,0.2,25.0,25.0,2.623130672662197,0.41708207274173403,额定载荷
S001,B,0.2,30.0,30.0,1.2776290068192089,0.6805927482951978,额定载荷
S002,B,0.2,30.0,30.0,3.0081486209144983,0.24796284477137542,额定载荷
S003,B,0.2,30.0,30.0,3.0635093111044256,0.2341226722238936,额定载荷
S004,B,0.2,30.0,30.0,3.18196952192449,0.20450761951887753,额定载荷
S005,B,0.2,30.0,30.0,2.1866752578646045,0.4533311855338489,额定载荷
S006,B,0.2,30.0,30.0,1.3479933155854122,0.6630016711036469,额定载荷
S007,B,0.2,30.0,30.0,1.9533263259277267,0.5116684185180683,额定载荷
S008,B,0.2,28.632431030273438,30.0,3.199998464901348,0.200000383774663,地形与电量
S009,B,0.2,30.0,30.0,2.3232406922729516,0.4191898269317621,额定载荷
S010,B,0.2,30.0,30.0,2.00859111441662,0.49785222139584495,额定载荷
S011,B,0.2,30.0,30.0,1.186257719238235,0.7034355701904412,额定载荷
S012,B,0.2,30.0,30.0,3.042017158219478,0.23949571044513052,额定载荷
S013,B,0.2,30.0,30.0,2.0141036460658945,0.49647408848352637,额定载荷
S014,B,0.2,30.0,30.0,2.3518344331919665,0.4120413917020084,额定载荷
S015,B,0.2,30.0,30.0,2.5482008062388735,0.36294979844028163,额定载荷
S001,C,0.2,80.0,80.0,3.0908513751399878,0.6136435781075016,额定载荷
S002,C,0.2,68.55422973632812,80.0,6.399995387602489,0.20000057654968884,地形与电量
S003,C,0.2,68.2354736328125,80.0,6.399999059909927,0.20000011751125912,地形与电量
S004,C,0.2,63.25927734375,80.0,6.399998105513416,0.20000023681082302,地形与电量
S005,C,0.2,80.0,80.0,5.313520173417107,0.33580997832286164,额定载荷
S006,C,0.2,80.0,80.0,3.24823870014885,0.5939701624813938,额定载荷
S007,C,0.2,80.0,80.0,4.670308889668295,0.41621138879146313,额定载荷
S008,C,0.2,58.435821533203125,80.0,6.399999074880409,0.2000001156399489,地形与电量
S009,C,0.2,80.0,80.0,5.686544095145491,0.2891819881068136,额定载荷
S010,C,0.2,80.0,80.0,4.852782210983376,0.393402223627078,额定载荷
S011,C,0.2,80.0,80.0,2.860349878455211,0.6424562651930986,额定载荷
S012,C,0.2,68.01460266113281,80.0,6.399995690286579,0.20000053871417767,地形与电量
S013,C,0.2,80.0,80.0,4.8909055001409545,0.3886368124823807,额定载荷
S014,C,0.2,80.0,80.0,5.59918849001126,0.3001014387485925,额定载荷
S015,C,0.2,80.0,80.0,6.142374444193605,0.2322031944757994,额定载荷
