检查项,是否通过,实际值,允许上限或目标
mass_Q2-001,True,25.0,30.0
volume_Q2-001,True,0.067,0.073
energy_Q2-001,True,0.5447488960080764,0.2
mass_Q2-002,True,17.0,25.0
volume_Q2-002,True,0.039,0.06
energy_Q2-002,True,0.5649526087525275,0.2
mass_Q2-003,True,25.0,30.0
volume_Q2-003,True,0.067,0.073
energy_Q2-003,True,0.31120161642874566,0.2
mass_Q2-004,True,17.0,25.0
volume_Q2-004,True,0.039,0.06
energy_Q2-004,True,0.3490876258581108,0.2
mass_Q2-005,True,17.0,25.0
volume_Q2-005,True,0.039,0.06
energy_Q2-005,True,0.28632864860715357,0.2
mass_Q2-006,True,17.0,25.0
volume_Q2-006,True,0.039,0.06
energy_Q2-006,True,0.31142101085338025,0.2
mass_Q2-007,True,76.0,80.0
volume_Q2-007,True,0.195,0.25
energy_Q2-007,True,0.3000472796905741,0.2
mass_Q2-008,True,73.0,80.0
volume_Q2-008,True,0.20800000000000002,0.25
energy_Q2-008,True,0.30284266846303287,0.2
mass_Q2-009,True,25.0,30.0
volume_Q2-009,True,0.067,0.073
energy_Q2-009,True,0.4656918179663233,0.2
mass_Q2-010,True,17.0,25.0
volume_Q2-010,True,0.039,0.06
energy_Q2-010,True,0.5267805808065633,0.2
mass_Q2-011,True,25.0,30.0
volume_Q2-011,True,0.067,0.073
energy_Q2-011,True,0.2549132802460998,0.2
mass_Q2-012,True,17.0,25.0
volume_Q2-012,True,0.039,0.06
energy_Q2-012,True,0.49744221444275993,0.2
mass_Q2-013,True,17.0,25.0
volume_Q2-013,True,0.039,0.06
energy_Q2-013,True,0.743495590444011,0.2
mass_Q2-014,True,76.0,80.0
volume_Q2-014,True,0.206,0.25
energy_Q2-014,True,0.4247178291988023,0.2
mass_Q2-015,True,66.0,80.0
volume_Q2-015,True,0.165,0.25
energy_Q2-015,True,0.6723679524642665,0.2
mass_Q2-016,True,8.0,30.0
volume_Q2-016,True,0.028,0.073
energy_Q2-016,True,0.6211385838280946,0.2
mass_Q2-017,True,64.0,80.0
volume_Q2-017,True,0.17200000000000001,0.25
energy_Q2-017,True,0.23437643788543072,0.2
mass_Q2-018,True,64.0,80.0
volume_Q2-018,True,0.17200000000000001,0.25
energy_Q2-018,True,0.23153967767154593,0.2
mass_Q2-019,True,42.0,80.0
volume_Q2-019,True,0.117,0.25
energy_Q2-019,True,0.3075053945209081,0.2
mass_Q2-020,True,28.0,80.0
volume_Q2-020,True,0.09,0.25
energy_Q2-020,True,0.3223294509089756,0.2
mass_Q2-021,True,42.0,80.0
volume_Q2-021,True,0.117,0.25
energy_Q2-021,True,0.5247629188447218,0.2
all_80_boxes_exactly_once,True,80.0,80.0
all_hard_deadlines,True,-803.5718644812359,0.0
drone_overlap_U01,True,0.0,0.0
drone_overlap_U02,True,0.0,0.0
drone_overlap_U03,True,0.0,0.0
drone_overlap_U04,True,0.0,0.0
drone_overlap_U05,True,0.0,0.0
drone_overlap_U06,True,0.0,0.0
drone_overlap_U07,True,0.0,0.0
drone_overlap_U08,True,0.0,0.0
battery_overlap_A-BAT-01,True,0.0,0.0
battery_overlap_A-BAT-02,True,0.0,0.0
battery_overlap_A-BAT-03,True,0.0,0.0
battery_overlap_A-BAT-04,True,0.0,0.0
battery_overlap_A-BAT-05,True,0.0,0.0
battery_overlap_A-BAT-06,True,0.0,0.0
battery_overlap_B-BAT-01,True,0.0,0.0
battery_overlap_B-BAT-02,True,0.0,0.0
battery_overlap_B-BAT-03,True,0.0,0.0
battery_overlap_B-BAT-04,True,0.0,0.0
battery_overlap_C-BAT-01,True,0.0,0.0
battery_overlap_C-BAT-02,True,0.0,0.0
battery_overlap_C-BAT-03,True,0.0,0.0
battery_overlap_C-BAT-04,True,0.0,0.0
