iteration,operator,destroy_operator,repair_operator,accepted,temperature,route_count,current_route_count,hard_violations,weighted_tardiness,makespan_s,energy_kwh,current_hard_violations,current_weighted_tardiness,current_makespan_s,current_energy_kwh,destroy_weights,repair_weights
0,initial,,,True,0.0,31,31,0,490446.79802761576,12641.85080694075,88.6042722595218,0,490446.79802761576,12641.85080694075,88.6042722595218,,
1,greedy_merge_seed,,,True,1558046.7542116237,21,21,0,186162.1244996922,11420.94204181823,73.38751908596429,0,186162.1244996922,11420.94204181823,73.38751908596429,"random_routes=1.000,related_routes=1.000,worst_routes=1.000","greedy=1.000,regret2=1.000"
2,alns,random_routes,regret2,True,1558046.7542116237,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=1.000,related_routes=1.000,worst_routes=1.000","greedy=1.000,regret2=1.000"
3,alns,related_routes,regret2,False,1542466.2866695074,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=1.000,related_routes=1.000,worst_routes=1.000","greedy=1.000,regret2=1.000"
4,alns,random_routes,greedy,False,1527041.6238028123,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=1.000,related_routes=1.000,worst_routes=1.000","greedy=1.000,regret2=1.000"
5,alns,related_routes,greedy,False,1511771.2075647842,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=1.000,related_routes=1.000,worst_routes=1.000","greedy=1.000,regret2=1.000"
6,alns,worst_routes,regret2,False,1496653.4954891363,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=1.000,related_routes=1.000,worst_routes=1.000","greedy=1.000,regret2=1.000"
7,alns,worst_routes,regret2,False,1481686.960534245,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=1.000,related_routes=1.000,worst_routes=1.000","greedy=1.000,regret2=1.000"
8,alns,related_routes,greedy,False,1466870.0909289026,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=1.000,related_routes=1.000,worst_routes=1.000","greedy=1.000,regret2=1.000"
9,alns,related_routes,greedy,False,1452201.3900196136,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=1.000,related_routes=1.000,worst_routes=1.000","greedy=1.000,regret2=1.000"
10,alns,worst_routes,regret2,False,1437679.3761194174,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=1.000,related_routes=1.000,worst_routes=1.000","greedy=1.000,regret2=1.000"
11,alns,worst_routes,regret2,False,1423302.5823582232,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=0.900,related_routes=0.800,worst_routes=0.800","greedy=0.800,regret2=0.833"
12,alns,worst_routes,regret2,False,1409069.556534641,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=0.900,related_routes=0.800,worst_routes=0.800","greedy=0.800,regret2=0.833"
13,alns,worst_routes,greedy,False,1394978.8609692946,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=0.900,related_routes=0.800,worst_routes=0.800","greedy=0.800,regret2=0.833"
14,alns,random_routes,regret2,False,1381029.0723596015,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=0.900,related_routes=0.800,worst_routes=0.800","greedy=0.800,regret2=0.833"
15,alns,random_routes,regret2,False,1367218.7816360055,21,19,0,186162.1244996922,11420.94204181823,73.38751908596429,0,471475.15549128863,11878.642839333657,72.80529391018003,"random_routes=0.900,related_routes=0.800,worst_routes=0.800","greedy=0.800,regret2=0.833"
16,alns,related_routes,greedy,True,1353546.5938196455,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.900,related_routes=0.800,worst_routes=0.800","greedy=0.800,regret2=0.833"
17,alns,related_routes,greedy,False,1340011.127881449,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.900,related_routes=0.800,worst_routes=0.800","greedy=0.800,regret2=0.833"
18,alns,worst_routes,greedy,False,1326611.0166026345,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.900,related_routes=0.800,worst_routes=0.800","greedy=0.800,regret2=0.833"
19,alns,random_routes,regret2,False,1313344.9064366082,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.900,related_routes=0.800,worst_routes=0.800","greedy=0.800,regret2=0.833"
20,alns,worst_routes,regret2,False,1300211.4573722421,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.900,related_routes=0.800,worst_routes=0.800","greedy=0.800,regret2=0.833"
21,alns,random_routes,greedy,False,1287209.3427985196,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.720,related_routes=0.740,worst_routes=0.640","greedy=0.680,regret2=0.667"
22,alns,random_routes,regret2,False,1274337.2493705344,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.720,related_routes=0.740,worst_routes=0.640","greedy=0.680,regret2=0.667"
23,alns,random_routes,greedy,False,1261593.8768768292,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.720,related_routes=0.740,worst_routes=0.640","greedy=0.680,regret2=0.667"
