架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,返航SOC（%）,货箱数量,货箱编号列表
Q2-001,U05,B,B-BAT-01,0.0,S010,1554.5722429043155,1.8210044159676944,54.47488960080764,3,"S010-FOD-01,S010-MED-01,S010-WAT-01"
Q2-002,U02,A,A-BAT-02,0.0,S013,1612.0245159085694,1.9577132606136263,56.495260875252754,2,"S013-MED-01,S013-WAT-01"
Q2-003,U06,B,B-BAT-02,0.0,S012,1923.8014247171473,2.7551935342850173,31.120161642874567,3,"S012-FOD-01,S012-MED-01,S012-WAT-01"
Q2-004,U01,A,A-BAT-01,0.0,S002,2007.7326728867874,2.929105683638501,34.90876258581108,2,"S002-MED-01,S002-WAT-01"
Q2-005,U04,A,A-BAT-04,0.0,S008,2176.205891832879,3.2115210812678088,28.632864860715358,2,"S008-MED-01,S008-WAT-01"
Q2-006,U03,A,A-BAT-03,0.0,S004,2183.961185235387,3.0986054511597887,31.142101085338027,2,"S004-MED-01,S004-WAT-01"
Q2-007,U08,C,C-BAT-02,0.0,S006->S015,2719.806341817026,5.599621762475407,30.00472796905741,8,"S006-FOD-01,S006-HYG-01,S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S015-MED-01,S015-WAT-01"
Q2-008,U07,C,C-BAT-01,0.0,S001->S011->S007,2841.0788994377644,5.577258652295737,30.284266846303286,9,"S001-MED-01,S001-MED-02,S001-WAT-01,S007-FOD-01,S007-HYG-01,S007-MED-01,S007-WAT-01,S007-WAT-02,S011-FOD-01"
Q2-009,U05,B,B-BAT-03,1554.5722429043155,S014,3423.1706947998787,2.1372327281347068,46.56918179663233,3,"S014-FOD-01,S014-MED-01,S014-WAT-01"
Q2-010,U02,A,A-BAT-05,1612.0245159085694,S005,3307.783841247527,2.129487386370465,52.67805808065633,2,"S005-MED-01,S005-WAT-01"
Q2-011,U06,B,B-BAT-04,1923.8014247171473,S015->S003,4262.458137836038,2.9803468790156007,25.491328024609984,3,"S003-MED-01,S003-WAT-01,S015-FOD-01"
Q2-012,U01,A,A-BAT-06,2007.7326728867874,S009,3699.2684838048945,2.2615100350075803,49.74422144427599,2,"S009-MED-01,S009-WAT-01"
Q2-013,U04,A,A-BAT-02,2677.5861245302835,S011,3898.1699894654193,1.1542698430019507,74.3495590444011,2,"S011-MED-01,S011-WAT-01"
Q2-014,U08,C,C-BAT-03,2719.806341817026,S001->S009,4890.86555707923,4.602257366409582,42.471782919880226,7,"S001-HYG-01,S001-HYG-02,S001-WAT-05,S001-WAT-06,S001-WAT-07,S001-WAT-08,S009-FOD-01"
Q2-015,U07,C,C-BAT-04,2841.0788994377644,S001,4336.505642017237,2.621056380285868,67.23679524642665,6,"S001-FOD-01,S001-FOD-02,S001-FOD-03,S001-WAT-02,S001-WAT-03,S001-WAT-04"
Q2-016,U05,B,B-BAT-01,3423.1706947998787,S013,4813.571642487672,1.5154456646876215,62.11385838280946,1,S013-FOD-01
Q2-017,U07,C,C-BAT-02,5069.703902487448,S002,7180.712040064456,6.124988496916554,23.43764378854307,6,"S002-FOD-01,S002-FOD-02,S002-HYG-01,S002-WAT-02,S002-WAT-03,S002-WAT-04"
Q2-018,U08,C,C-BAT-01,5184.919784434527,S003,7620.73066265348,6.147682578627633,23.153967767154594,6,"S003-FOD-01,S003-FOD-02,S003-HYG-01,S003-WAT-02,S003-WAT-03,S003-WAT-04"
Q2-019,U07,C,C-BAT-04,7180.712040064456,S004,9353.897532442219,5.539956843832735,30.75053945209081,4,"S004-FOD-01,S004-HYG-01,S004-WAT-02,S004-WAT-03"
Q2-020,U08,C,C-BAT-03,7620.73066265348,S008,9692.490557679028,5.421364392728195,32.23294509089756,3,"S008-FOD-01,S008-HYG-01,S008-WAT-02"
Q2-021,U07,C,C-BAT-02,9672.896424646024,S005,11420.94204181823,3.8018966492422255,52.47629188447218,4,"S005-FOD-01,S005-HYG-01,S005-WAT-02,S005-WAT-03"
