货箱编号,架次编号,服务区编号,物资类型,是否首批保障,硬截止时刻（s）,期望送达时间（s）,交付完成时刻（s）,加权延期（优先系数·s）
S002-MED-01,Q2-002,S002,医疗物资,是,3600.0,3600,1201.6465050865704,0.0
S002-WAT-01,Q2-002,S002,饮用水,是,3600.0,3600,1201.6465050865704,0.0
S012-MED-01,Q2-003,S012,医疗物资,是,7200.0,7200,1251.5921910150387,0.0
S012-WAT-01,Q2-003,S012,饮用水,是,3600.0,3600,1251.5921910150387,0.0
S014-MED-01,Q2-004,S014,医疗物资,是,7200.0,7200,1311.7993233470515,0.0
S014-WAT-01,Q2-004,S014,饮用水,是,3600.0,3600,1311.7993233470515,0.0
S006-MED-01,Q2-007,S006,医疗物资,是,3600.0,3600,1044.8384216926756,0.0
S006-WAT-01,Q2-007,S006,饮用水,是,3600.0,3600,1044.8384216926756,0.0
S007-MED-01,Q2-007,S007,医疗物资,是,3600.0,3600,1695.7598412586867,0.0
S007-WAT-01,Q2-007,S007,饮用水,是,3600.0,3600,1695.7598412586867,0.0
S010-MED-01,Q2-008,S010,医疗物资,是,3600.0,3600,2162.0917401742813,0.0
S010-WAT-01,Q2-008,S010,饮用水,是,3600.0,3600,2162.0917401742813,0.0
S013-MED-01,Q2-008,S013,医疗物资,是,3600.0,3600,1680.6848231090275,0.0
S013-WAT-01,Q2-008,S013,饮用水,是,3600.0,3600,1680.6848231090275,0.0
S001-MED-01,Q2-008,S001,医疗物资,是,3600.0,3600,1144.6598499462011,0.0
S001-MED-02,Q2-008,S001,医疗物资,否,3600.0,3600,1144.6598499462011,0.0
S001-WAT-01,Q2-008,S001,饮用水,是,3600.0,3600,1144.6598499462011,0.0
S015-MED-01,Q2-012,S015,医疗物资,是,7200.0,7200,4829.132205449177,0.0
S015-WAT-01,Q2-012,S015,饮用水,是,10800.0,10800,4829.132205449177,0.0
S006-WAT-02,Q2-012,S006,饮用水,否,,3600,4040.646405865336,5287.756870384032
S006-WAT-03,Q2-012,S006,饮用水,否,,3600,4040.646405865336,5287.756870384032
S006-FOD-01,Q2-012,S006,应急食品,否,,7200,4040.646405865336,0.0
S006-HYG-01,Q2-012,S006,生活卫生用品,否,,10800,4040.646405865336,0.0
S011-MED-01,Q2-012,S011,医疗物资,是,10800.0,10800,5545.467086495405,0.0
S011-WAT-01,Q2-012,S011,饮用水,是,10800.0,10800,5545.467086495405,0.0
S003-MED-01,Q2-010,S003,医疗物资,是,7200.0,7200,4750.078093202473,0.0
S003-WAT-01,Q2-010,S003,饮用水,是,7200.0,7200,4750.078093202473,0.0
S015-FOD-01,Q2-010,S015,应急食品,否,,14400,4301.796519464252,0.0
S004-MED-01,Q2-013,S004,医疗物资,是,7200.0,7200,4892.9265305923345,0.0
S004-WAT-01,Q2-013,S004,饮用水,是,7200.0,7200,4892.9265305923345,0.0
