运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
Q2-001,爬升:O01,7382.961244974601,7485.606756856111,DIRECT,
Q2-001,巡航:O01-S010,7486.604760183114,7813.949851440247,DIRECT,
Q2-001,巡航:O01-S010,7814.94785476725,7883.810084330488,RELAY,Q3-R-06
Q2-001,下降:S010,7884.798749455718,7916.436033463071,RELAY,Q3-R-06
Q2-001,交接:S010,7917.424698588301,8096.424698588301,RELAY,Q3-R-06
Q2-001,爬升:S010,8097.424698588301,8125.436877136478,RELAY,Q3-R-06
Q2-001,巡航:S010-O01,8126.434880463481,8194.299106699717,RELAY,Q3-R-06
Q2-001,巡航:S010-O01,8195.297110026719,8523.640204610854,DIRECT,
Q2-001,下降:O01,8524.633548274223,8646.814818868666,DIRECT,
Q2-002,爬升:O01,399.7614786564651,460.179563373262,DIRECT,
Q2-002,巡航:O01-S002,461.17892877659494,723.0126644498328,DIRECT,
Q2-002,巡航:O01-S002,724.0120298531657,955.8648034264145,RELAY,Q3-R-01
Q2-002,下降:S002,956.8587395836411,990.6525689293442,RELAY,Q3-R-01
Q2-002,交接:S002,991.6465050865708,1200.6465050865709,RELAY,Q3-R-01
Q2-002,爬升:S002,1201.6465050865709,1231.4645898033677,RELAY,Q3-R-01
Q2-002,巡航:S002-O01,1232.4639552067008,1463.3173633766164,RELAY,Q3-R-01
Q2-002,巡航:S002-O01,1464.3167287799495,1727.1498298565202,DIRECT,
Q2-002,下降:O01,1728.143003851865,1799.6515315166764,DIRECT,
Q2-003,爬升:O01,399.7614786564651,494.96181028081406,DIRECT,
Q2-003,巡航:O01-S012,495.96025154151243,757.5518618444912,DIRECT,
Q2-003,巡航:O01-S012,758.5503031051896,988.1917930658199,RELAY,Q3-R-01
Q2-003,下降:S012,989.1806893241387,1040.6032947567198,RELAY,Q3-R-01
Q2-003,交接:S012,1041.5921910150387,1250.5921910150387,RELAY,Q3-R-01
Q2-003,爬升:S012,1251.5921910150387,1296.0925226393877,RELAY,Q3-R-01
Q2-003,巡航:S012-O01,1297.090963900086,1525.7340126000179,RELAY,Q3-R-01
Q2-003,巡航:S012-O01,1526.7324538607163,1789.3225054243935,DIRECT,
Q2-003,下降:O01,1790.3159001891693,1903.5629033736122,DIRECT,
Q2-004,爬升:O01,399.7614786564651,554.5106078882359,DIRECT,
Q2-004,巡航:O01-S014,555.5104078003882,881.4451791620402,DIRECT,
Q2-004,巡航:O01-S014,882.4449790741926,1005.4203682689263,RELAY,Q3-R-01
Q2-004,下降:S014,1006.4139657439584,1100.8057258720191,RELAY,Q3-R-01
Q2-004,交接:S014,1101.7993233470513,1310.7993233470513,RELAY,Q3-R-01
Q2-004,爬升:S014,1311.7993233470513,1392.1151192454888,RELAY,Q3-R-01
Q2-004,巡航:S014-O01,1393.1149191576412,1515.0905084402225,RELAY,Q3-R-01
Q2-004,巡航:S014-O01,1516.090308352375,1843.0248796261792,DIRECT,
Q2-004,下降:O01,1844.0232611050938,2028.7238347043042,DIRECT,
Q2-005,爬升:O01,7082.961244974601,7178.16157659895,DIRECT,
Q2-005,巡航:O01-S012,7179.160017859648,7440.751628162627,DIRECT,
Q2-005,巡航:O01-S012,7441.750069423326,7671.391559383956,RELAY,Q3-R-06
Q2-005,下降:S012,7672.380455642275,7723.803061074856,RELAY,Q3-R-06
Q2-005,交接:S012,7724.791957333175,7903.791957333175,RELAY,Q3-R-06
Q2-005,爬升:S012,7904.791957333175,7949.292288957524,RELAY,Q3-R-06
Q2-005,巡航:S012-O01,7950.290730218222,8178.9337789181545,RELAY,Q3-R-06
Q2-005,巡航:S012-O01,8179.932220178853,8442.52227174253,DIRECT,
Q2-005,下降:O01,8443.515666507305,8556.762669691749,DIRECT,
Q2-006,爬升:O01,3803.5694628291258,3885.3059069209226,DIRECT,
Q2-006,巡航:O01-S008,3886.3052258644807,4175.108400552766,DIRECT,
Q2-006,巡航:O01-S008,4176.1077194963245,4198.092736254603,RELAY,Q3-R-04
Q2-006,巡航:O01-S008,4199.09205519816,4425.937455385845,RELAY,Q3-R-03
Q2-006,下降:S008,4426.932668383653,4465.745975298193,RELAY,Q3-R-03
Q2-006,交接:S008,4466.741188296001,4675.741188296001,RELAY,Q3-R-03
Q2-006,爬升:S008,4676.741188296001,4710.744299054465,RELAY,Q3-R-03
Q2-006,巡航:S008-O01,4711.743617998023,4937.589699242149,RELAY,Q3-R-03
Q2-006,巡航:S008-O01,4938.589018185708,4960.574034943986,RELAY,Q3-R-04
Q2-006,巡航:S008-O01,4961.573353887544,5251.375847519387,DIRECT,
Q2-006,下降:O01,5252.366592296257,5349.459580429543,DIRECT,
Q2-007,爬升:O01,459.7614786564651,555.1206143986526,DIRECT,
Q2-007,巡航:O01-S006,556.1162429790107,767.1895020149411,DIRECT,
Q2-007,下降:S006,768.1759989256232,791.8519247819934,DIRECT,
Q2-007,交接:S006,792.8384216926755,1043.8384216926756,DIRECT,
Q2-007,爬升:S006,1044.8384216926756,1155.0629529426756,DIRECT,
Q2-007,巡航:S006-S007,1156.061561420375,1270.9015363558142,DIRECT,
Q2-007,巡航:S006-S007,1271.9001448335137,1315.8389178522903,RELAY,Q3-R-02
Q2-007,巡航:S006-S007,1316.83752632999,1322.8291771961867,DIRECT,
Q2-007,下降:S007,1323.8286041719098,1337.820581832034,DIRECT,
Q2-007,下降:S007,1338.820008807757,1442.7604142829637,RELAY,Q3-R-02
Q2-007,交接:S007,1443.7598412586867,1694.7598412586867,RELAY,Q3-R-02
Q2-007,爬升:S007,1695.7598412586867,1757.092031200093,RELAY,Q3-R-02
Q2-007,巡航:S007-O01,1758.0895731001924,1795.996165303969,RELAY,Q3-R-02
Q2-007,巡航:S007-O01,1796.9937072040684,2059.347226930207,DIRECT,
Q2-007,下降:O01,2060.34225478886,2246.412464356965,DIRECT,
Q2-008,爬升:O01,549.7614786564651,607.9041226994339,DIRECT,
Q2-008,巡航:O01-S001,608.9003540272049,812.1315448924902,DIRECT,
Q2-008,下降:S001,813.1210627825726,855.6703320561187,DIRECT,
Q2-008,交接:S001,856.6598499462011,1143.6598499462011,DIRECT,
Q2-008,爬升:S001,1144.6598499462011,1222.4041736766699,DIRECT,
Q2-008,巡航:S001-S013,1223.403915877547,1334.3753001749,DIRECT,
Q2-008,巡航:S001-S013,1335.3750423757772,1415.3544184459417,RELAY,Q3-R-01
Q2-008,下降:S013,1416.3065902075907,1427.7326513473788,RELAY,Q3-R-01
Q2-008,交接:S013,1428.6848231090278,1679.6848231090278,RELAY,Q3-R-01
Q2-008,爬升:S013,1680.6848231090278,1741.6329725230903,RELAY,Q3-R-01
Q2-008,巡航:S013-S010,1742.624623930441,1833.8565534067038,RELAY,Q3-R-01
