运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
Q2-001,爬升:O01,7382.961244974601,7485.606756856111,DIRECT_AVAILABLE,
Q2-001,巡航:O01-S010,7486.604760183114,7813.949851440247,DIRECT_AVAILABLE,
Q2-001,巡航:O01-S010,7814.94785476725,7883.810084330488,DIRECT_BLOCKED,
Q2-001,下降:S010,7884.798749455718,7916.436033463071,DIRECT_BLOCKED,
Q2-001,交接:S010,7917.424698588301,8096.424698588301,DIRECT_BLOCKED,
Q2-001,爬升:S010,8097.424698588301,8125.436877136478,DIRECT_BLOCKED,
Q2-001,巡航:S010-O01,8126.434880463481,8194.299106699717,DIRECT_BLOCKED,
Q2-001,巡航:S010-O01,8195.297110026719,8523.640204610854,DIRECT_AVAILABLE,
Q2-001,下降:O01,8524.633548274223,8646.814818868666,DIRECT_AVAILABLE,
Q2-002,爬升:O01,399.7614786564651,460.179563373262,DIRECT_AVAILABLE,
Q2-002,巡航:O01-S002,461.17892877659494,723.0126644498328,DIRECT_AVAILABLE,
Q2-002,巡航:O01-S002,724.0120298531657,955.8648034264145,DIRECT_BLOCKED,
Q2-002,下降:S002,956.8587395836411,990.6525689293442,DIRECT_BLOCKED,
Q2-002,交接:S002,991.6465050865708,1200.6465050865709,DIRECT_BLOCKED,
Q2-002,爬升:S002,1201.6465050865709,1231.4645898033677,DIRECT_BLOCKED,
Q2-002,巡航:S002-O01,1232.4639552067008,1463.3173633766164,DIRECT_BLOCKED,
Q2-002,巡航:S002-O01,1464.3167287799495,1727.1498298565202,DIRECT_AVAILABLE,
Q2-002,下降:O01,1728.143003851865,1799.6515315166764,DIRECT_AVAILABLE,
Q2-003,爬升:O01,399.7614786564651,494.96181028081406,DIRECT_AVAILABLE,
Q2-003,巡航:O01-S012,495.96025154151243,757.5518618444912,DIRECT_AVAILABLE,
Q2-003,巡航:O01-S012,758.5503031051896,988.1917930658199,DIRECT_BLOCKED,
Q2-003,下降:S012,989.1806893241387,1040.6032947567198,DIRECT_BLOCKED,
Q2-003,交接:S012,1041.5921910150387,1250.5921910150387,DIRECT_BLOCKED,
Q2-003,爬升:S012,1251.5921910150387,1296.0925226393877,DIRECT_BLOCKED,
Q2-003,巡航:S012-O01,1297.090963900086,1525.7340126000179,DIRECT_BLOCKED,
Q2-003,巡航:S012-O01,1526.7324538607163,1789.3225054243935,DIRECT_AVAILABLE,
Q2-003,下降:O01,1790.3159001891693,1903.5629033736122,DIRECT_AVAILABLE,
Q2-004,爬升:O01,399.7614786564651,554.5106078882359,DIRECT_AVAILABLE,
Q2-004,巡航:O01-S014,555.5104078003882,881.4451791620402,DIRECT_AVAILABLE,
Q2-004,巡航:O01-S014,882.4449790741926,1005.4203682689263,DIRECT_BLOCKED,
Q2-004,下降:S014,1006.4139657439584,1100.8057258720191,DIRECT_BLOCKED,
