迭代,事件,时序调整（s）,涉及运输架次,是否得到可行联合方案
1,resource,103.80798417266078,"Q2-002,Q2-003,Q2-004,Q2-006,Q2-007,Q2-008,Q2-010,Q2-012,Q2-013",False
2,resource,300.0,"Q2-001,Q2-005,Q2-006,Q2-009,Q2-010,Q2-011,Q2-012,Q2-013,Q2-014",False
3,resource,300.0,"Q2-001,Q2-005,Q2-006,Q2-009,Q2-010,Q2-011,Q2-012,Q2-013,Q2-014",False
4,resource,187.87945598241276,"Q2-001,Q2-005,Q2-006,Q2-009,Q2-010,Q2-011,Q2-012,Q2-013,Q2-014",False
5,resource,225.32031033572275,"Q2-001,Q2-005,Q2-006,Q2-009,Q2-010,Q2-011,Q2-012,Q2-013,Q2-014,Q2-016,Q2-017",False
6,resource,300.0,"Q2-001,Q2-005,Q2-009,Q2-011,Q2-014,Q2-016,Q2-017,Q2-018,Q2-019",False
7,resource,300.0,"Q2-001,Q2-005,Q2-009,Q2-011,Q2-014,Q2-016,Q2-017,Q2-018,Q2-019",False
8,resource,300.0,"Q2-001,Q2-005,Q2-009,Q2-011,Q2-014,Q2-016,Q2-017,Q2-018,Q2-019",False
9,resource,300.0,"Q2-018,Q2-019,Q2-020,Q2-021",False
10,resource,261.1381413762465,"Q2-018,Q2-019,Q2-020,Q2-021",False
11,feasible,0.0,,True
