中继架次编号,中继无人机编号,能源组件编号,开始时刻（s）,悬停经度（°）,悬停纬度（°）,悬停海拔（m）,建链完成时刻（s）,服务结束时刻（s）,返回O01时刻（s）,架次能耗（kWh）,返航SOC（%）,充电完成时刻（s）
Q3-R-01,R01,R-EC-01,0.0,109.28055555555557,23.03138888888889,667.0967712402344,724.0120298531657,2250.9932624197495,2809.9550232096017,0.7567786130336309,76.35066834269904,3617.396334754514
Q3-R-02,R02,R-EC-02,118.1205883198736,109.20847505454546,23.03936079090909,611.3710327148438,724.0120298531657,2250.9932624197495,2687.1906233459454,0.6852587115558593,78.5856652638794,3465.5769749155133
Q3-R-03,R02,R-EC-03,3047.190623345945,109.19500000000001,23.06361111111111,971.0787353515625,3944.127754028611,5600.519347608198,6357.73803957016,0.8852751372890868,72.33515195971604,7217.381064093852
Q3-R-04,R01,R-EC-04,3413.2415307269894,109.20650170870312,23.025081968300846,584.7446899414062,3944.1277540286114,5600.519347608198,5959.492628404937,0.6787662203006184,78.78855561560567,6735.241405402063
Q3-R-05,R01,R-EC-05,6544.81293874066,109.19500000000001,23.06361111111111,971.0787353515625,7441.750069423326,10676.529739329517,11433.74843129148,1.367560382833327,57.263738036458534,12489.31983681752
Q3-R-06,R02,R-EC-06,6717.73803957016,109.28055555555557,23.03138888888889,667.0967712402344,7441.750069423326,10676.529739329517,11235.49150011937,1.2786059133318441,60.04356520837988,12254.925152410431
Q3-R-07,R02,R-EC-02,11553.478213199971,109.19500000000001,23.06361111111111,971.0787353515625,12450.415343882638,13694.201221637903,14451.419913599866,0.7592011685649884,76.27496348234412,15259.845388329393
Q3-R-08,R01,R-EC-01,11919.529120581015,109.20650170870312,23.025081968300846,584.7446899414062,12450.415343882638,13694.201221637903,14053.174502434642,0.55269225157652,82.72836713823375,14777.705729637602
Q3-R-09,R01,R-EC-04,14413.174502434642,109.19500000000001,23.06361111111111,971.0787353515625,15310.111633117309,16190.360974349514,16947.579666311478,0.6481205601829425,79.74623249428305,17710.878643885797
Q3-R-10,R02,R-EC-03,14779.225409815686,109.20650170870312,23.025081968300846,584.7446899414062,15310.111633117309,16190.360974349514,16549.334255146252,0.4416116431944742,86.19963615017268,17228.738985194006
