资源类型,资源编号,机型,阶段,关联架次,开始时刻（s）,结束时刻（s）
运输无人机,U05,B,执行架次,Q2-002,39.7614786564651,1799.6515315166762
共享电池,B-BAT-01,B,随架次占用,Q2-002,39.7614786564651,1799.6515315166762
共享电池,B-BAT-01,B,两阶段充电,Q2-002,1799.6515315166762,3523.7480931032237
运输无人机,U06,B,执行架次,Q2-003,39.7614786564651,1903.5629033736122
共享电池,B-BAT-02,B,随架次占用,Q2-003,39.7614786564651,1903.5629033736122
共享电池,B-BAT-02,B,两阶段充电,Q2-003,1903.5629033736122,3641.31172325195
运输无人机,U01,A,执行架次,Q2-004,39.7614786564651,2028.7238347043044
共享电池,A-BAT-01,A,随架次占用,Q2-004,39.7614786564651,2028.7238347043044
共享电池,A-BAT-01,A,两阶段充电,Q2-004,2028.7238347043044,3189.580127106494
运输无人机,U08,C,执行架次,Q2-007,39.7614786564651,2246.4124643569644
共享电池,C-BAT-02,C,随架次占用,Q2-007,39.7614786564651,2246.4124643569644
共享电池,C-BAT-02,C,两阶段充电,Q2-007,2246.4124643569644,4051.41911463153
运输无人机,U07,C,执行架次,Q2-008,39.7614786564651,2668.237284233861
共享电池,C-BAT-01,C,随架次占用,Q2-008,39.7614786564651,2668.237284233861
共享电池,C-BAT-01,C,两阶段充电,Q2-008,2668.237284233861,4727.657330199386
运输无人机,U08,C,执行架次,Q2-012,2843.5694628291258,5848.60132839231
共享电池,C-BAT-03,C,随架次占用,Q2-012,2843.5694628291258,5848.60132839231
共享电池,C-BAT-03,C,两阶段充电,Q2-012,5848.60132839231,8297.94862012382
运输无人机,U05,B,执行架次,Q2-010,3143.5694628291258,5482.226175948018
共享电池,B-BAT-03,B,随架次占用,Q2-010,3143.5694628291258,5482.226175948018
共享电池,B-BAT-03,B,两阶段充电,Q2-010,5482.226175948018,7440.376490188111
运输无人机,U07,C,执行架次,Q2-013,3143.5694628291258,5963.196137075901
共享电池,C-BAT-04,C,随架次占用,Q2-013,3143.5694628291258,5963.196137075901
共享电池,C-BAT-04,C,两阶段充电,Q2-013,5963.196137075901,8470.665051081185
运输无人机,U06,B,执行架次,Q2-006,3443.5694628291258,5349.459580429544
共享电池,B-BAT-04,B,随架次占用,Q2-006,3443.5694628291258,5349.459580429544
共享电池,B-BAT-04,B,两阶段充电,Q2-006,5349.459580429544,7176.30072892001
运输无人机,U07,C,执行架次,Q2-015,5963.196137075901,7458.622879655373
共享电池,C-BAT-01,C,随架次占用,Q2-015,5963.196137075901,7458.622879655373
共享电池,C-BAT-01,C,两阶段充电,Q2-015,7458.622879655373,9001.825649316128
运输无人机,U06,B,执行架次,Q2-009,6752.961244974601,8501.559696870163
共享电池,B-BAT-01,B,随架次占用,Q2-009,6752.961244974601,8501.559696870163
共享电池,B-BAT-01,B,两阶段充电,Q2-009,8501.559696870163,9940.396895323402
运输无人机,U05,B,执行架次,Q2-005,6752.961244974601,8556.762669691747
共享电池,B-BAT-02,B,随架次占用,Q2-005,6752.961244974601,8556.762669691747
共享电池,B-BAT-02,B,两阶段充电,Q2-005,8556.762669691747,10216.561012711296
运输无人机,U08,C,执行架次,Q2-014,6861.801094710446,9032.860309972648
共享电池,C-BAT-02,C,随架次占用,Q2-014,6861.801094710446,9032.860309972648
共享电池,C-BAT-02,C,两阶段充电,Q2-014,9032.860309972648,11112.638346708576
运输无人机,U02,A,执行架次,Q2-011,7052.961244974601,8604.98576088317
共享电池,A-BAT-02,A,随架次占用,Q2-011,7052.961244974601,8604.98576088317
共享电池,A-BAT-02,A,两阶段充电,Q2-011,8604.98576088317,9645.499885293693
运输无人机,U03,A,执行架次,Q2-001,7052.961244974601,8646.814818868666
共享电池,A-BAT-03,A,随架次占用,Q2-001,7052.961244974601,8646.814818868666
共享电池,A-BAT-03,A,两阶段充电,Q2-001,8646.814818868666,9685.78857049865
运输无人机,U07,C,执行架次,Q2-016,8523.268930459542,10634.27706803655
共享电池,C-BAT-03,C,随架次占用,Q2-016,8523.268930459542,10634.27706803655
共享电池,C-BAT-03,C,两阶段充电,Q2-016,10634.27706803655,13126.461452618116
运输无人机,U08,C,执行架次,Q2-017,9032.860309972648,11125.94667297918
共享电池,C-BAT-04,C,随架次占用,Q2-017,9032.860309972648,11125.94667297918
共享电池,C-BAT-04,C,两阶段充电,Q2-017,11125.94667297918,12934.432089558528
运输无人机,U07,C,执行架次,Q2-018,11534.27706803655,13970.087946255504
共享电池,C-BAT-01,C,随架次占用,Q2-018,11534.27706803655,13970.087946255504
共享电池,C-BAT-01,C,两阶段充电,Q2-018,13970.087946255504,16468.418644633824
运输无人机,U08,C,执行架次,Q2-019,12025.94667297918,14199.132165356943
共享电池,C-BAT-02,C,随架次占用,Q2-019,12025.94667297918,14199.132165356943
