架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,返航SOC（%）,货箱数量,货箱编号列表
Q2-002,U05,B,B-BAT-01,39.7614786564651,S002,1799.6515315166762,2.4402228344304944,38.99442913923764,2,"S002-MED-01,S002-WAT-01"
Q2-003,U06,B,B-BAT-02,39.7614786564651,S012,1903.5629033736122,2.471728045873087,38.20679885317283,2,"S012-MED-01,S012-WAT-01"
Q2-004,U01,A,A-BAT-01,39.7614786564651,S014,2028.7238347043044,2.287579473699887,49.164900584446954,2,"S014-MED-01,S014-WAT-01"
Q2-007,U08,C,C-BAT-02,39.7614786564651,S006->S007,2246.4124643569644,3.587716862552244,55.153539218096945,4,"S006-MED-01,S006-WAT-01,S007-MED-01,S007-WAT-01"
Q2-008,U07,C,C-BAT-01,39.7614786564651,S001->S013->S010,2668.237284233861,4.527089400488092,43.411382493898856,7,"S001-MED-01,S001-MED-02,S001-WAT-01,S010-MED-01,S010-WAT-01,S013-MED-01,S013-WAT-01"
Q2-012,U08,C,C-BAT-03,2843.5694628291258,S006->S015->S011,5848.60132839231,5.966820769470195,25.414740381622558,8,"S006-FOD-01,S006-HYG-01,S006-WAT-02,S006-WAT-03,S011-MED-01,S011-WAT-01,S015-MED-01,S015-WAT-01"
Q2-010,U05,B,B-BAT-03,3143.5694628291258,S015->S003,5482.226175948018,2.9803468790156007,25.491328024609984,3,"S003-MED-01,S003-WAT-01,S015-FOD-01"
Q2-013,U07,C,C-BAT-04,3143.5694628291258,S009->S004->S005,5963.196137075901,6.181423682481054,22.73220396898683,6,"S004-MED-01,S004-WAT-01,S005-MED-01,S005-WAT-01,S009-MED-01,S009-WAT-01"
Q2-006,U06,B,B-BAT-04,3443.5694628291258,S008,5349.459580429544,2.677325727285692,33.066856817857705,2,"S008-MED-01,S008-WAT-01"
Q2-015,U07,C,C-BAT-01,5963.196137075901,S001,7458.622879655373,2.621056380285868,67.23679524642665,6,"S001-FOD-01,S001-FOD-02,S001-FOD-03,S001-WAT-02,S001-WAT-03,S001-WAT-04"
Q2-009,U06,B,B-BAT-01,6752.961244974601,S014,8501.559696870163,1.7819319964305487,55.451700089236276,1,S014-FOD-01
Q2-005,U05,B,B-BAT-02,6752.961244974601,S012,8556.762669691747,2.2918423300451125,42.70394174887219,1,S012-FOD-01
Q2-014,U08,C,C-BAT-02,6861.801094710446,S001->S009,9032.860309972648,4.602257366409582,42.471782919880226,7,"S001-HYG-01,S001-HYG-02,S001-WAT-05,S001-WAT-06,S001-WAT-07,S001-WAT-08,S009-FOD-01"
Q2-011,U02,A,A-BAT-02,7052.961244974601,S013,8604.98576088317,1.8710104306518154,58.421990429959656,1,S013-FOD-01
Q2-001,U03,A,A-BAT-03,7052.961244974601,S010,8646.814818868666,1.8656783710268652,58.540480643847445,1,S010-FOD-01
Q2-016,U07,C,C-BAT-03,8523.268930459542,S002,10634.27706803655,6.124988496916554,23.43764378854307,6,"S002-FOD-01,S002-FOD-02,S002-HYG-01,S002-WAT-02,S002-WAT-03,S002-WAT-04"
Q2-017,U08,C,C-BAT-04,9032.860309972648,S011->S007,11125.94667297918,3.6005615381391305,54.99298077326087,4,"S007-FOD-01,S007-HYG-01,S007-WAT-02,S011-FOD-01"
Q2-018,U07,C,C-BAT-01,11534.27706803655,S003,13970.087946255504,6.147682578627633,23.153967767154594,6,"S003-FOD-01,S003-FOD-02,S003-HYG-01,S003-WAT-02,S003-WAT-03,S003-WAT-04"
Q2-019,U08,C,C-BAT-02,12025.94667297918,S004,14199.132165356943,5.539956843832735,30.75053945209081,4,"S004-FOD-01,S004-HYG-01,S004-WAT-02,S004-WAT-03"
Q2-020,U07,C,C-BAT-04,14531.22608763175,S008,16602.9859826573,5.421364392728195,32.23294509089756,3,"S008-FOD-01,S008-HYG-01,S008-WAT-02"
Q2-021,U08,C,C-BAT-03,14760.27030673319,S005,16508.3159239054,3.8018966492422255,52.47629188447218,4,"S005-FOD-01,S005-HYG-01,S005-WAT-02,S005-WAT-03"
