origin,destination,distance_m,max_dem_m,cruise_alt_m,origin_work_alt_m,destination_work_alt_m,climb_m,descent_m
O01,S001,3063.4113328958456,223.05661010742188,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188
O01,S002,7435.278600797286,258.9542541503906,308.9542541503906,127.7,219.5,181.25425415039064,89.45425415039062
O01,S003,7261.075721163634,511.80413818359375,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375
O01,S004,7745.662448326383,348.2391662597656,398.2391662597656,127.7,228.3,270.53916625976564,169.9391662597656
O01,S005,5302.020131721248,276.410888671875,326.410888671875,127.7,195.0,198.710888671875,131.410888671875
O01,S006,3181.0333142443287,316.09783935546875,366.09783935546875,127.7,314.8,238.39783935546876,51.29783935546874
O01,S007,4533.827935951708,451.8304748535156,501.8304748535156,127.7,348.5,374.13047485351564,153.33047485351562
O01,S008,8109.473226973836,322.9093322753906,372.9093322753906,127.7,270.9,245.20933227539064,102.00933227539065
O01,S009,5722.680436797705,243.22891235351562,293.2289123535156,127.7,230.0,165.52891235351564,63.228912353515625
O01,S010,4778.439929692523,385.63653564453125,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123
O01,S011,2817.151729649878,243.34902954101562,293.3490295410156,127.7,212.1,165.64902954101564,81.24902954101563
O01,S012,7398.449741775088,363.3009948730469,413.3009948730469,127.7,279.8,285.6009948730469,133.50099487304686
O01,S013,4848.707046623291,349.18182373046875,399.18182373046875,127.7,351.7,271.48182373046876,47.48182373046876
O01,S014,5410.917124568285,541.9473876953125,591.9473876953125,127.7,351.0,464.2473876953125,240.9473876953125
O01,S015,6019.114040444863,521.7992553710938,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375
S001,O01,3063.4113328958456,223.05661010742188,273.0566101074219,184.0,127.7,89.05661010742188,145.3566101074219
S001,S002,4375.1174882089435,259.2448425292969,309.2448425292969,184.0,219.5,125.24484252929688,89.74484252929688
S001,S003,7646.669659392091,505.94439697265625,555.9443969726562,184.0,338.5,371.94439697265625,217.44439697265625
S001,S004,4947.404500921591,358.7777404785156,408.7777404785156,184.0,228.3,224.77774047851562,180.4777404785156
S001,S005,2935.4023332198385,266.13800048828125,316.13800048828125,184.0,195.0,132.13800048828125,121.13800048828125
S001,S006,5296.397067333132,343.9356384277344,393.9356384277344,184.0,314.8,209.93563842773438,79.13563842773436
S001,S007,5179.664981697741,389.17535400390625,439.17535400390625,184.0,348.5,255.17535400390625,90.67535400390625
S001,S008,5983.178550982976,316.78717041015625,366.78717041015625,184.0,270.9,182.78717041015625,95.88717041015627
S001,S009,2659.3015892443896,243.22891235351562,293.2289123535156,184.0,230.0,109.22891235351562,63.228912353515625
S001,S010,3707.6531096384165,381.0796813964844,431.0796813964844,184.0,351.6,247.07968139648438,79.47968139648435
S001,S011,2350.339334946149,226.38790893554688,276.3879089355469,184.0,212.1,92.38790893554688,64.28790893554688
S001,S012,4696.519820000021,385.599609375,435.599609375,184.0,279.8,251.599609375,155.799609375
S001,S013,2894.2536715390784,328.3608093261719,378.3608093261719,184.0,351.7,194.36080932617188,26.660809326171886
S001,S014,5198.603405717892,542.6727294921875,592.6727294921875,184.0,351.0,408.6727294921875,241.6727294921875
S001,S015,5494.319404924122,547.315185546875,597.315185546875,184.0,474.5,413.315185546875,122.815185546875
S002,O01,7435.278600797286,258.9542541503906,308.9542541503906,219.5,127.7,89.45425415039062,181.25425415039064
S002,S001,4375.1174882089435,259.2448425292969,309.2448425292969,219.5,184.0,89.74484252929688,125.24484252929688
S002,S003,9766.539630920495,571.1314086914062,621.1314086914062,219.5,338.5,401.63140869140625,282.63140869140625
S002,S004,2246.1092043358344,283.658203125,333.658203125,219.5,228.3,114.158203125,105.35820312499999
S002,S005,3474.1366346648224,356.79864501953125,406.79864501953125,219.5,195.0,187.29864501953125,211.79864501953125
S002,S006,9199.764533275116,344.2987060546875,394.2987060546875,219.5,314.8,174.7987060546875,79.49870605468749
S002,S007,8119.478490017064,424.7281799316406,474.7281799316406,219.5,348.5,255.22817993164062,126.22817993164062
S002,S008,4795.7575704282135,331.8424987792969,381.8424987792969,219.5,270.9,162.34249877929688,110.9424987792969
S002,S009,1730.88510563917,278.2866516113281,328.2866516113281,219.5,230.0,108.78665161132812,98.28665161132812
S002,S010,5938.026107106171,441.85394287109375,491.85394287109375,219.5,351.6,272.35394287109375,140.25394287109373
S002,S011,5790.0945339801865,311.78533935546875,361.78533935546875,219.5,212.1,142.28533935546875,149.68533935546876
S002,S012,3072.0015224349627,358.1782531738281,408.1782531738281,219.5,279.8,188.67825317382812,128.3782531738281
S002,S013,4556.431632116055,327.2103271484375,377.2103271484375,219.5,351.7,157.7103271484375,25.51032714843751
S002,S014,7680.879658926547,457.5832214355469,507.5832214355469,219.5,351.0,288.0832214355469,156.58322143554688
S002,S015,7156.966223290737,593.7526245117188,643.7526245117188,219.5,474.5,424.25262451171875,169.25262451171875
S003,O01,7261.075721163634,511.80413818359375,561.8041381835938,338.5,127.7,223.30413818359375,434.10413818359376
